SW Req ID,Title,Requirement,Rationale,Verification Method,Verification Statement
BPSec-025,Canonical Form Canonical Block CBOR Values,CBOR values from the canonical block shall be canonicalized using the rules for Deterministically Encoded CBOR.,Canonicalization algorithms are discussed in section 3.7 of RFC 9173. Security services require consistency and determinism in how information is presented to cipher suites.,Test,This requirement is verified when a test shows that values for the IPPT are canonicalized using the rules for Deterministically Encoded CBOR.\
BPSec-026,Blocks Encryption,Only the block-type-specific data field of a block shall be provided to a cipher suite for encryption of the block.,"BPSec operates on data fields within bundle blocks (e.g., the block-type-specific data field). In their canonical form, these fields include their own CBOR encoding and no other encapsulating CBOR encoding.",Test,This requirement is verified when a test shows that: 1. A bundle containing a BCB with security results based only on the block- type-specific data field of a block is accepted. 2. A bundle containing a BCB with security results not based on the block-type-specific data field of a block is not accepted. 3. A bundle containing a BCB with security results based only on the block- type-specific data field of a block is verified. 4. A bundle containing a BCB with security results not based on the block-type-specific data field of a block is not verified. 5. A source produces a bundle containing a BCB with security results based only on the block-type- specific data field of a block.\
BPSec-027,Canonical Form of Canonical Blocks Decryption,Only the block-type-specific data within a canonical block shall be decrypted and included in the canonical form used by the cipher suite for decryption.,"BPSec operates on data fields within bundle blocks (e.g., the block-type-specific data field). In their canonical form, these fields include their own CBOR encoding and no other encapsulating CBOR encoding.",Test,This requirement is verified when a test shows that a bundle with BCB only has the block-type-specific data within a canonical block decrypted by the acceptor and the other fields are unmodified.\
BPSec-028,Associated Authenticated Data,"When a non-block-type- specific data field within a canonical block is tagged for authentication by user configuration, BPSec shall apply integrity-protection to to the block.",An integrity protection mechanism allows confirmation that blocks in the bundle have not been modified.,Test,"This requirement is verified when a test shows that a non-block-type specific data field within a canonical block is tagged for authentication in the configuration file, and integrity-protection is applied to the block.\"
BPSec-029,Receiving BCBs 1,"When a received bundle contains a BCB, the receiving node shall determine whether it is the security acceptor for any security operations in the BCB.",The security acceptor identified in a BCB performs the final processing of the security operation and is the only node that decrypts and processes the security operations in the BCB.,Test,"This requirement is verified when a test shows that a BCB that matches the acceptor policy is processed, and a BCB that doesn't match the acceptor policy is unmodified.\"
BPSec-030,Receiving BCBs 2,BPSec shall process BCB security targets according to a user-configured security policy after confidentiality security operation failures.,"In case of security operation failure, the action for target processing is based on the security policy configured by the user.",Test,This requirement is verified when a test shows that a node identified as a BCB security acceptor processes and fails a security target and processes the failed security target as specified by the security policy defined in the BPSec config file.\
BPSec-032,Receiving BCBs 4,"When the receiving node is the bundle's destination node, the node shall process all BCBs remaining in the bundle.","The bundle destination is, by necessity, the acceptor of any block remaining in the bundle. Since a bundle will no longer exist after processing at this BPA, all blocks must be accepted before passing the bundle payload to applications resident on the destination \uc0\u914 \u929 \u913 .",Test,"This requirement is verified when a test shows that if a node that is the bundle's final destination receives a bundle with multiple BCBs, it successfully processes all BCBs in the bundle.\"
BPSec-033,Receiving BCBs 5,"When the receiving node is identified as a verifier for a BCB, the node shall process the BCB per the node's user- configured security policy.","If the receiving node is a verifier, the BCB shall be processed based on the configured security policy.",Test,This requirement is verified when a test shows that a BCB received by a verifier node is processed according to the security policy defined in the BPSec config file.\
BPSec-035,Receiving BCBs 7,"When the security processing results in removing the payload block, BPSec shall discard the bundle.",The payload is required in a bundle.,Test,"This requirement is verified when a test shows that a node should apply confidentiality to a received payload block, there is no BCB in the bundle targeting the payload block, and the bundle is discarded.\"
BPSec-036,Receiving BCBs 8,"When BPSec fails to decrypt the payload block of a bundle, the bundle shall be discarded.",Failure to decrypt a payload block indicates the payload could be compromised and should be discarded.,Test,This requirement is verified when a test shows that a payload block that cannot be decrypted causes the bundle to be discarded.\
BPSec-037,Receiving BCBs 9,"When an encrypted security target other than a payload block cannot be decrypted, BPSec shall discard the target and the corresponding security blocks, identifying the failed block as a target.",Failure to decrypt a block indicates the block could be compromised and should be discarded along with corresponding security blocks.,Test,"This requirement is verified when a test shows that a BCB decryption operation on a non-payload block security target fails, the security target block is removed from the bundle, and all BCBs identifying the removed block as a security target are also removed from the bundle.\"
BPSec-040,Receiving BCBs 12,"When BPSec decrypts a BCB, the recovered plaintext for the security targets shall replace the ciphertext in the corresponding security targets' block-type specific data fields.",The final bundle received by the application should only have decrypted data.,Test,"This requirement is verified when test shows a bundle has had the ciphertext in the block-type-specific data field overwritten with plaintext, and that the block type code, block number, block processing control flags, and CRC type fields remain the same.\"
BPSec-041,Receiving BCBs 14,"When a BCB contains multiple security operations, each operation processed by the node shall be treated as if the security operation has been represented by a single BCB with a single security operation.",This helps with report generation and policy processing.,Test,This requirement is verified when a test shows that the results of processing a single BCB with multiple security operations and processing multiple BCBs each containing a single security operation are identical.\
BPSec-042,Receiving BIBs 1,"When a received bundle contains a BIB, the receiving node shall determine whether it is the security acceptor for any of the security operations in the BIB.",The security acceptor identified in a BIB is responsible for processing the BIB.,Test,"This requirement is verified when a test shows that a BIB that matches the acceptor policy is processed, and a BIB that doesn't match the acceptor policy is unmodified.\"
BPSec-043,Receiving BIBs 2,When the receiving node is the security acceptor for any of the security operations in a BIB: 1. The node shall process those operations. 2. Remove any operation- specific information from the BIB before forwarding the bundle.,The security acceptor identified in a BIB performs the final processing of the security operation.,Test,"This requirement is verified when a test shows that a check of the BIB security acceptor node ID against the processing node ID is performed, the BIB is processed, and operation- specific information is removed from the processed BIB when the BIB security acceptor node ID and processing node ID match, and the BIB is not processed when the BIB security acceptor node ID and processing node ID do not match.\"
BPSec-044,Receiving BIBs 3,BPSec shall process BIB security targets according to a user-configured security policy after integrity security operation failures.,"In case of security operation failure, the action for target processing is based on the security policy configured by the user.",Test,This requirement is verified when a test shows that a node identified as a BIB security acceptor processes and fails a security target and processes the failed security target specified by the security policy defined in the BPSec config file.\
BPSec-046,Receiving BIBs 5,"When BPSec removes all the security operations for a given BIB, that BIB shall be removed from the bundle.","When all security operations in a BIB have been removed, the BIB is no longer needed and removed.",Test,"This requirement is verified when a test shows that when all security operations for a BIB have been removed from the BIB, the BIB is removed from the bundle.\"
BPSec-047,Receiving BIBs 6,BPSec shall process a BIB only if the security target of the BIB is not the security target of a BCB in the bundle.,"When a BIB and BCB share a security target, the target is encrypted after it is integrity signed. As a result, the BIB cannot be verified until the security target is decrypted by processing the BCB.",Test,This requirement is verified when a test shows when a BIB and BCB share a security target; the BIB is not processed until the security target is decrypted by BCB.\
BPSec-048,Receiving BIBs 7,"When the security policy of a node requires a node to apply integrity to a specific security target and no such BIB is present in the bundle, the node shall process this security target per the security policy.",The BIB is processed per the configured security policy.,Test,"This requirement is verified when a test shows that when a node's user- specified security policy for an integrity operation is performed on a BIB security target that does not exist, the security target is processed per the security policy.\"
BPSec-050,Receiving BIBs 9,"When the target block of the failed integrity security operation is the primary block, BPSec shall discard the bundle.",The primary block is required in a bundle and cannot be discarded.,Test,This requirement is verified when a test shows that the bundle is discarded when an integrity security operation targeting the primary block fails.\
BPSec-051,Receiving BIBs 10,"When an integrity security operation performed on the payload block fails, BPSec shall discard the bundle.","The payload block is required in a bundle. Removing the payload block invalidates the entire bundle. As a result, the bundle is discarded.",Test,This requirement is verified when a test shows that the bundle is discarded when an integrity security operation targeting the payload block fails.\
BPSec-052,Receiving BIBs 11,"When a receiving node is designated as a security verifier of a security operation in a BIB, the node shall verify the security operation.",Verification of BIB security operations prevents nodes from forwarding corrupt data.,Test,This requirement is verified when a test shows that a node is the security verifier of a security operation in a BIB and the node attempts to verify the security operation.\
BPSec-053,Receiving BIBs 12,BPSec shall process BIB security targets per a user- configured security policy after verification of security operation failures.,"In case of security operation failure, the action for target processing is based on the security policy configured by the user.",Test,"This requirement is verified when a test shows that when there's a BIB security operation failure, the node processes the security target per the security policy configured in the BPSec config file.\"
BPSec-054,Receiving BIBs 13,"When a payload integrity check fails at a waypoint, BPSec shall process the payload according to user- defined preferences in the security configuration file.",Waypoints will prevent forwarding corrupt payloads.,Test,"This requirement is verified when a test shows that 1) a BIB security operation processed on a payload security target at a waypoint node fails, and 2) the payload is processed according to user-defined preferences in the security configuration file.\"
BPSec-055,Receiving BIBs 14,"When a BIB integrity check passes at a waypoint, the node shall retain the security operation in the BIB before forwarding.","If the integrity check passes at the waypoint, the bundle is verified and should be forwarded to the next hop. Only the acceptor removes the BIB extension block.",Test,"This requirement is verified when a test shows that a) A BIB integrity security operation is performed by a node that is not the security acceptor, b) The BIB integrity security operation passes, and c) The bundle is forwarded to the next hop with the BIB integrity security operation intact.\"
BPSec-056,Receiving BIBs 15,"When a BIB contains multiple security operations, each operation processed by the node shall be treated as if the security operation is represented by a single BIB with a single security operation.",Processing each security operation as a single operation with a single security target simplifies reporting and policy compliance.,Test,This requirement is verified when a test shows that the results of processing a single BIB with multiple security operations and processing multiple BIBs each containing a single security operation are identical.\
BPSec-057,BCB Blocks Addition to a Bundle,"BPSec shall prevent the addition of BCB to a bundle if the ""Bundle is a fragment"" flag is set to true in the bundle processing control flags field.",Specific security processes cause fragmentation delays until the bundle is reassembled. This results in some extension blocks being duplicated and security failures being ambiguous in the presence of fragmentation.,Test,"This requirement is verified when a BCB is allowed to be added when then the ""Bundle is a fragment"" flag is set to FALSE and not allowed to be added to a bundle when the ""Bundle is a fragment"" flag is set to TRUE (Bundle fragmentation for BPv7 is not implemented at this time, but will be added soon).\"
BPSec-058,BIB Blocks Addition to a Bundle,"BPSec shall prevent the addition of BIB to a bundle if the ""Bundle is a fragment"" flag is set to true in the bundle processing control flags field.",Specific security processes cause fragmentation delays until the bundle is reassembled. This results in some extension blocks being duplicated and security failures being ambiguous in the presence of fragmentation.,Test,"This requirement is verified when a BIB is allowed to be added when then the ""Bundle is a fragment"" flag is set to FALSE and not allowed to be added to a bundle when the ""Bundle is a fragment"" flag is set to TRUE (Bundle fragmentation for BPv7 is not implemented at this time, but will be added soon.)\"
BPSec-059,Security Context 2,BPSec shall support the BIB- HMAC-SHA2 integrity security context.,HDTN currently implements all default security contexts as per RFC 9173. These are the minimum security contexts that need to be supported for interoperability.,Test,This requirement is verified when the default integrity and confidentiality security contexts BIB-HMAC- SHA2 are part of the options security context parameters in the BPSec config file and are working as expected.\
BPSec-060,Security Acceptor,BPSec shall be the security acceptor for bundles originating from node(s) identified as the security source(s).,"HDTN currently defines the BPSec policy rules, which include the node's role (source, acceptor, or verifier) in JSON config files.",Test,This requirement is verified when a node identified as a security acceptor for an originating node in the security configuration file processes a bundle sent from its specified originating node.\
BPSec-061,Receiving BCBs 16,"When BPSec removes all the security operations for a given BCB, that BCB shall be removed from the bundle.",This is the final stage in the security operation lifecycle where the BCB is not needed anymore.,Test,"This requirement is verified when a test shows that if a node has a BCB with multiple security operations, when all those operations have been processed and removed, the BCB is removed from the bundle.\"
RTPBP-001,RTP Packets Concatenation,Bundles containing concatenations of RTP packets must be transmitted as soon as concatenation is completed.,"When the number of RTP packets in the outgoing queue reaches numRtpPacketsPerBundle, a bundle containing concatenations of RTP packets is immediately transmitted. There is no attempt to smooth the bitrate.",Test,This requirement is verified when a test shows when the number of RTP packets in the outgoing queue reaches the maximum number of RTP packets per bundle and the bundle is successfully sent.\
RTPBP-002,RTP Bundle Size Limit,"When a bundle size limit is required, it shall be specified by the user.",BPSendStream implements a bundle size limit as an application parameter.,Test,"This requirement is verified when a test shows that BPSendStream, configured with a maximum bundle size, sends bundles that do not exceed the specified size.\"
RTPBP-003,RTP Bundle Endpoint ID,The connection URI shall be the destination node endpoint ID for sources transmitted via unicast.,BPSendStream implements the destination node endpoint ID using the des-uri-eid parameter. BPReceiveStream implements the corresponding destination node endpoint ID using the my-uri-eid parameter.,Test,This requirement is verified when a test shows BPSendStream's des-uri- eid matches BPReceiveStream my-uri- eid and bundles are received successfully.\
TCPCL-001,Network Byte Order,The data encodings shall transmit in big-endian byte order.,"This is the byte order for data per RFC 9174. This means the bits are transmitted in this order: bits 0-7 first, then bits 8-15, then 16-23, and bits 24- 31 last.",Test,This requirement is verified when a test shows that data encodings are received in big-endian byte order.\
TCPCL-002,Session Establishment,"When using TCPCL for bundle transmissions, communicating entities shall establish a TCPCL session.",TCPCL requires a handshake with the other node to ensure both sides are compatible for transmission and reception.,Test,This requirement is verified when a test shows two TCPCL nodes establishing a session and successfully exchanging data.\
TCPCL-003,Contact Header,"When a TCP connection is established, the active entity shall transmit its Contact Header to the passive entity.",The TCPCL contact header requires the TCPCL protocol version and a Transport Layer Security presence indication for the two nodes to establish a TCPCL connection.,Test,This requirement is verified after a test shows the active entity transmitting its Contact Header.\
TCPCL-004,Contact Header Reception,"When the passive entity receives the Contact Header of an active entity, the passive entity shall transmit its Contact Header to the active entity.","To complete a handshake, the passive/receiver node must acknowledge receipt of the active/transmitter node's contact header by sending out the passive node's contact header. Exchanging contact headers allows each node to ensure that it uses the correct protocol version and negotiates Transport Layer Security use.",Test,This requirement is verified when a test shows that the passive entity transmits its Contact Header after receiving the active entity's Contact Header.\
TCPCL-005,TCP Idle Timeout,The TCP connection shall close when the entity timer matches or exceeds the specified timeout.,Open network connections consume memory and processing resources. Timeouts and keep- alive messages allow nodes to detect defunct or idle connections and close them to free up resources.,Test,This requirement is verified when a test shows that the TCP connection closes when the timeout timer is reached or exceeded.\
TCPCL-006,TCP FIN,The entity shall use the TCP FIN mechanism when closing a TCP connection.,TCP has two mechanisms for opening and closing connections: RST and FIN. FIN is the standard clean close for a TCP connection.,Test,This requirement is verified when a test shows an entity initiating TCP connection closure by transmitting a TCP FIN packet to the node on the other end of the connection.\
TCPCL-007,Enable Transport Layer Security (TLS) by CAN_TLS Flag,TLS shall set the CAN_TLS flag within its Contact Header to TRUE when TLS is enabled.,TLS is designed to facilitate privacy and data security for communications over the network. CAN TLS indicates that the entity that generated this contact header has enabled TLS security. Enabling TLS for all sessions is recommended in RFC 9174.,Test,"This requirement is verified when a test shows that TLS is enabled by setting the following fields in the HDTN outduct config: tryUseTls, tlsIsRequired, use Tls Version1_3 or useTls Versionl 4, doX509Certificate Verification, verifySubjectAltNameInX509Certificate, certificationAuthorityPemFileFor Verification.\"
TCPCL-011,TLS Lifetime,"When the TLS connection closes, the entire TCPCL session shall be terminated.",The TLS connection will also be terminated when the TCP connection is terminated. This is because TLS resides on the TCP connection when it is enabled.,Test,This requirement is verified when a test with TLS enabled shows that closing the TLS connection prevents the session from operating in non-TLS mode.\
TCPCL-012,Node ID Matching,"The implementation shall terminate the TLS session when a SESS_INIT message contains a NODE-ID that does not match the Uniform Resource Identifier (URI) ""ipn:nextHopNodeld.0"".","This is for compatibility between legacy network implementations. If the validation result fails or is absent and the security policy requires an authenticated node ID the session will terminate (reason code: ""Contact Failure"").",Test,"This requirement is considered verified when a test proves that the active entity will terminate the TLS session when it receives a SESS INIT message without the URI ""ipn:nextHopNosdeld.0"".\"
TCPCL-013,Version 3 Certificates,TCPCL shall require TCPCL version 3 certificates.,The TCPCL requires version 3 certificates due to the extensions used by the TCPCL certificate profile. It will reject version 1 and version 2 end- entity certificates.,Test,This requirement is verified when a test shows that TCPCL version 3 certificates have been used.\
TCPCL-016,TLS Authentication,The requested TLS handshake shall authenticate the TLS.,Enabling TLS for all sessions is recommended. TLS is designed to facilitate privacy and data security for communications over the network.,Test,"This requirement is verified when a test shows the following when each security policy can be enabled: 1. A certificate signed by a trusted CA is accepted, and a certificate not signed by a trusted CA is rejected. 2. A certificate with a proper Extended Key Usage value is accepted, and one without it is rejected. 3. A certificate with an expected NODE-ID value is accepted, and one with a mismatched or missing NODE-ID is rejected.\"
TCPCL-017,Node ID Mismatch,"When an active entity receives a SESS INIT that differs from the intended node ID, the TCPCL session shall reject the SESS_INIT.",Network integrity is lost when messages are delivered to the wrong node.,Test,This requirement is verified when a test shows that an active entity rejects a SESS_INIT message when the received node ID does not match the intended one.\
TCPCL-022,Keep-alive,Nodes shall send a keep- alive message when no message transmission reception happens during the negotiated interval.,Timeouts avoid an idle network. Timeouts ensure the network will not be 'hung up' in any particular node. Keep-alive messages are the network's last chance before a timeout occurs.,Test,This requirement is verified when a test shows an entity sending a keep-alive message when no message transmission reception happens during the negotiated interval between entities.\
TCPCL-023,SESS TERM Idle Timeout,"The entity shall terminate the session by transmitting a SESS_TERM message with a reason code of ""Idle timeout"" when no message transmission reception happens during the negotiated interval.",Messages can be keep-alive or other. Reason codes enable network statistics. These statistics can be used to understand how the network is operating. The timeout interval is 2.5 times the negotiated keep- alive interval.,Test,"This requirement is verified when a test shows that an entity sends an SESS_TERM message with a reason code of ""Idle timeout"" when no message was received within the negotiated interval.\"
TCPCL-025,TCPCL Segment to Segment Maximum Receive Unit (MRU),The size of a TCPCL segment shall be less than or equal to the receiving entity's Segment MRU.,A receiving entity can set the Segment MRU in its SESS INIT message to determine the largest acceptable segment size. A transmitting entity can segment a transfer into sizes smaller than the receiver's Segment MRU. Determining an appropriate segmentation policy for entities using the TCPCL protocol is a Network Administration matter.,Test,This requirement is verified when a test shows that the transmitting entity sends segments that do not exceed the receiving entity's segment MRU specified in its SESS_INIT.\
TCPCL-026,Single Transfer,A single transfer shall contain a single bundle.,"This requirement is imposed on the agent using the TCPCL rather than the TCPCL itself. Since TCPCL cannot handle fragmentation like the bundle protocol layer, data must be as one unit.",Test,This requirement is verified when a test shows that a single bundle is always captured in a single TCP transfer.\
TCPCL-027,Multiple Bundles,Multiple bundles on a single TCPCL connection shall transmit contiguously.,This is a requirement from RFC 9174 section 5.2. Bundle loss is reduced by transmitting multiple bundles contiguously.,Test,This requirement is verified when a test shows that a single TCPCL connection transmits contiguously when multiple bundles are sent.\
TCPCL-028,Unique Transfer ID,Transfer IDs shall differ between endpoint entities within a single TCPCL session and direction.,"When transfer IDs are not unique within a TCPCL session, communications can be accepted at another node. When this happens, the network will lose its validity and integrity.",Test,This requirement is verified when a test of multiple bundles within a single TCPCL session contains different transfer IDs between endpoint entities.\
TCPCL-029,Reserved Message Header Flag Set,The sender shall set the reserved message header flag bits to 0.,Reserved message header flag bits are found within the Contact Header.,Test,This requirement is verified when a test shows that the sender's reserved message header flag bits are zero.\
TCPCL-030,Transfer Extension Items Length,The Transfer Extension Items Length and Transfer Extension Items list shall only be present when the START flag is 1 on the message.,Transfer Extension Items Length and Transfer Extension Items list: These fields represent protocol extension data for this specification.,Test,This requirement is verified when a test shows the Transfer Extension Items Length and Transfer Extension Items are present when the START = 1 on the message and a test showing that the Transfer Extension Items Length and Transfer Extension Items list are NOT present when the START = 0.\
TCPCL-031,START Flag,The first segment of a transfer shall set the START flag = 1.,"The flags portion of the message contains two flag values in the two low-order bits, denoted START and END in XFER SEGMENT flags. These flags are to start and stop a handshake.",Test,This requirement is verified when a test shows that the first transfer segment contains a START = 1 and END = 0.\
TCPCL-032,END Flag,The last segment of a transfer shall set the END flag = 1.,"The flags portion of the message contains two flag values in the two low-order bits, denoted START and END in XFER SEGMENT flags. These flags are to start and stop a handshake.",Test,This requirement is verified when a test shows that the last transfer segment contains a START = 0 and END = 1.\
TCPCL-033,Bundle Transfer,"When a bundle transfer has commenced, the entity shall only send segments containing sequential portions of that bundle to the END flag = 1 segment.","The flags portion of the message contains two flag values in the two low-order bits, denoted START and END in XFER SEGMENT flags. These flags are to start and stop a handshake.",Test,"This requirement shall be considered verified when a test shows that, once a transfer of a bundle has commenced, the entity only sends segments containing sequential portions of that bundle until the segment with END flag = 1\"
TCPCL-034,Transfer ACK,A receiving TCPCL entity shall send XFER ACK message(s) in response to receiving processed XFER SEGMENT message segment(s).,"These acknowledgments enable the transmitting entity to determine how much of the bundle has been received, so if the session is interrupted, a reactive fragmentation can be performed to avoid resending the already transmitted part of the bundle. In addition, there is no explicit flow control on the TCPCL.",Test,This requirement is verified when a test shows a receiving TCPCL entity sending XFER_ACK messages in response to the same amount of receiving processed XFER SEGMENT message segments.\
TCPCL-035,XFER ACK Flags,The flags portion of the XFER_ACK header shall match the acknowledged corresponding XFER SEGMENT message.,"The flags portion includes flags that are not decodable to the entity. The rationale behind these acknowledgments is to enable the transmitting entity to determine how much of the bundle has been received so that if the session is interrupted, it can perform reactive fragmentation to avoid resending the already transmitted part of the bundle. In addition, there is no explicit flow control on the TCPCL.",Test,This requirement is verified when a test shows that the flags portion of the XFER_ACK header matches the same number of receiving processed XFER_SEGMENT message segments.\
TCPCL-038,Transfer Extension Items,Transfer Extension Items shall use Type-Length- Value (TLV) container encoding.,"Transfer Extension Items are defined in RFC 9174 section 5.2.5. Transfer Extension item fields are: 1. item flags, 2. item type, 3. item length, and 4. item value.",Test,This requirement is verified when a test shows Transfer Extension Items encoded as TLV containers.\
TCPCL-040,Single Transfer Length Extension Items,A transfer shall contain a single Transfer Length Extension Item at the beginning of the transfer when it contains more than one segment.,This requirement is imposed on the agent using the TCPCL rather than the TCPCL itself.,Test,This requirement is verified when a test showing a bundle transfer with multiple segments contains a single Transfer Length Extension Item.\
TCPCL-041,Internet Assigned Numbers Authority (IANA) Code Point,The Transfer Length Extension shall use the IANA-assigned code point.,"IANA has created the ""Bundle Protocol TCP Convergence-Layer Version 4 Transfer Extension Types"" registry and populated it with the contents of the Transfer Length Extension Codes. Values in the range 0x8000-0xFFFF are reserved for Private or Experimental Use and not recorded by IANA.",Test,This requirement is verified when a test shows the Transfer Length Extension value is assigned by the IANA-assigned code point options.\
TCPCL-042,Total Length Field,The receiver shall accept a received bundle when the Total Length value matches the length of the bundle data received.,The total length mandates what the length is going to be. The authority that the receiver has is to accept it or not.,Test,This requirement is verified when a test shows a received bundle being accepted based on the Total Length value matching the length of the bundle data received.\
TCPCL-044,Session Termination,"To terminate a session, an entity shall: 1. Complete transmission of other message(s). 2. Transmit a SESS TERM message.",The handshake must be finished for both parties to terminate the session.,Test,This requirement is verified when a test shows one entity terminating a session (by SESS_TERM message) and the other entity completing transmission of its message and transmitting its SESS_TERM message.\
TCPCL-045,SESS TERM Message,"When initiating a termination, the REPLY flag of a SESS TERM message shall be set to 0.",Setting the REPLY flag of a SESS TERM message lets the other node know that its connection wants a clean closeout.,Test,This requirement is verified when a test shows an entity terminating a session by sending the REPLY = 0 in a SESS_TERM message and a test showing that an entity with REPLY = 1 in a SESS_TERM message does not terminate the session.\
TCPCL-046,Acknowledging SESS TERM,"Upon receiving an initial SESS_TERM message in the current session, an entity shall send an acknowledging SESS_TERM message.",The receiver node must acknowledge the sender to complete a handshake.,Test,This requirement is verified when a test shows that a receiving SESS_TERM message entity sends its acknowledging SESS_TERM message.\
TCPCL-051,SESS INIT Keepalive Interval,An entity shall provide the capability to configure the keepalive interval included in the SESS_INIT message.,Timeouts and keep- alive messages allow nodes to detect defunct or idle connections and close them to free up resources.,Test,This requirement is verified when a test shows that the keepalive interval in the SESS_INIT matches the keepalive interval configured by the user.\
STCP-001,Bundle Reception,Bundles shall be received over the connected TCP socket.,Simple Transmission Control Protocol Convergence Layer (STCPCL) was implemented to ensure compatibility with legacy implementations.,Test,This requirement is verified when a test initializes an STCPCL outduct and confirms a TCP connection is used as the protocol for bundle transfer.\
STCP-002,Bundle Reception Length,STCP shall interpret a 32-bit unsigned integer preceding a bundle in network byte order as the length of the bundle.,The 32-bit length frames the bundle within a TCP stream.,Test,This requirement is verified when a test sends a bundle to an STCPCL induct and confirms the initial 32-bit integer of the bundle is read as the bundle length and is used to read the correct number of bytes from the TCP stream.\
STCP-003,Unidirectional Link,Each STCPCL link shall be unidirectional.,STCPCL is a simplified version of TCPCL. It is only implemented to support legacy systems.,Test,This requirement is verified when an STCP link has been shown as unidirectional.\
STCP-004,Bundle Transmission,Bundles shall be transmitted over the connected TCP socket.,Simple Transmission Control Protocol (STCP) was implemented to ensure compatibility with legacy implementation.,Test,This requirement is verified when bundles are transmitted over the TCP connection.\
STCP-005,Bundle Transmission Length,Bundles transmitted on the connection shall be preceded by a 32-bit unsigned integer in network byte order indicating the length of the bundle.,The 32-bit length frames the bundle within a TCP stream.,Test,This requirement is verified when a test receives a bundle from an STCPCL outduct and confirms the value of the 32-bit integer preceding the bundle matches the length of the bundle.\
STCP-006,STCPCL Keep-alive,Keep-alive packets shall be indicated by a 32-bit unsigned integer with all bits set to zero.,Keep-alive packets have been implemented to ensure compatibility with legacy implementation STCPCL.,Test,This requirement is verified when a test monitors an STCPCL outduct and confirms the TCP session is maintained by periodic reception of data or a 32-bit unsigned integer with all bits set to zero.\
STCP-007,STCPCL Keep-alive Interval,Keep-alive packets shall be transmitted at a user-specified interval when no data is transmitted.,Keep-alive packets have been implemented to ensure compatibility with legacy implementation STCPCL.,Test,This requirement is verified when a test monitors an STCPCL outduct and confirms that keep-alives are transmitted at the user- specified interval.\
STCP-008,Maximum Bundle Length,Accepted bundles shall be less than or equal to a user- specified maximum length.,Very large bundles could consume a large amount of memory.,Test,This requirement is verified when a test sends an oversized bundle to an STCPCL induct and confirms the connection is terminated.\
UDPCL-001,BP Over a Datagram CL,A UDP datagram shall contain one bundle.,"To utilize DTN protocols across the Internet, encapsulating them into standard protocols is necessary. UDP is a unidirectional protocol with no congestion control. One bundle per datagram simplifies the convergence layer.",Test,This requirement is verified when a test receives a datagram from a UDPCL outduct and confirms the datagram contains exactly one bundle.\
UDPCL-002,Rate Limit,UDP outduct transmission rates shall be limited by a user-specific rate limit.,UDP packets will be dropped if they exceed the expected link rate.,Test,This requirement is verified when a test receives data from a UDPCL outduct and confirms the received data rate does not exceed the configured rate.\
UDPCL-003,Port Configuration Listening,UDP induct shall be bound to a user-provided port.,UDP connections are to be established via a known port.,Test,This requirement is verified when a test successfully connects to a UDPCL induct utilizing the expected port.\
UDPCL-004,Port Configuration Transmission,UDP outduct shall connect to a user-provided port.,UDP connections are to be established via a known port.,Test,This requirement is verified when a test receives a connection from a UDPCL outduct utilizing the expected port.\
LTP-001,Session ID,A session ID shall consist of the sender's engine ID and a session number randomly generated by the sender.,This is the definition of the session ID.,Test,This requirement is verified when a test shows that a series of session IDs consists of the sender's engine ID and a session number randomly generated by the sender.\
LTP-002,Session ID Unique,A session ID shall uniquely identify every session initiated by an LTP engine.,Each session needs a unique ID to distinguish it from other sessions.,Test,This requirement is verified when a test shows that a series of bundles transmitted from an LTP outduct contains unique session IDs.\
LTP-003,Incrementing Checkpoint Serial Numbers,Any subsequent checkpoints issued by the sender shall have the serial number value found by incrementing the prior checkpoint serial number by 1.,The checkpoint serial number uniquely identifies the checkpoint among all checkpoints issued by the block sender in a session.,Test,This requirement is verified when a test shows that a series of checkpoint serial numbers increment by one for each subsequent checkpoint.\
LTP-004,Retransmitted Checkpoints,"When a checkpoint segment is retransmitted, its serial number shall be the same as initially transmitted.",Retransmitted serial numbers should not be changed from the original serial number since they are related to the same checkpoint.,Test,This requirement is verified when a test shows that the serial number for a retransmitted checkpoint is the same as the serial number of the original checkpoint.\
LTP-005,Report Serial Number,"When a Report Segment (RS) is received in response to a checkpoint, the LTP sender shall transmit a Report Acknowledgement (RA) segment that includes the same report serial number as the received RS.",This is required according to section 6.13 of RFC 5326. A non-zero value identifies it as a response to the reception.,Test,This requirement is verified when a test shows that the reported serial number of a received RA matches the serial number of the RS that caused the acknowledgment to be queued for transmission.\
LTP-006,Report Segment,Any subsequent Report Segment issued by the receiver shall have the serial number value found by incrementing the last report serial number by 1.,It must be implemented per RFC 5326 section 3.2.2 and helps ensure interoperability with other DTNs.,Test,This requirement is verified when a test shows that a series of Report Segments have a report serial number that increments by 1.\
LTP-007,Retransmitted Report Segment,"When a Report Segment is retransmitted, its serial number shall be the same as initially transmitted.",It must be implemented per RFC 5326 section 3.2.2 and helps ensure interoperability with other DTNs.,Test,This requirement is verified when a test shows that a retransmitted Report Segment contains its original serial number.\
